"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"B.J. Daniels","QB","FA",2541429,1989-10-24,0,0,0,0,50,0,25,3,,,4.19965985727146
"B.J. Daniels","WR","FA",2541429,1989-10-24,0,0,0,0,137,0,28,3,,,3.27119706995192
"Bear Pascoe","TE","NE",79625,1986-02-23,0,0,0,0,81,0,25,7,,,3.44540175578131
"Bears","DST","CHI",100005,,7.15,6.27,6.83,0.494974746830583,12,0.100000000000001,10,46,"20.0","3.5",5.40706604984142
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0.34,0.099,0.519,0.294830459756111,74,0.0525,23,0,,,4.12488953551022
"Ben Koyack","TE","JAC",2552396,1993-04-09,0.46,0.136,0.424,0.254558441227157,68,0.0399999999999999,22,1,,,4.03207570454419
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,0,0,0,0,50,0,25,12,,,4.19965985727146
"Bengals","DST","CIN",100006,,8.7,4.48,8.32,3.39411254969543,5,0.249999999999998,4,46,"9.4","2.8",6.13328659040234
"Benjamin Watson","TE","BAL",2506122,1980-12-18,0,0,0,0,81,0,25,12,,,3.44540175578131
"Bennie Fowler","WR","DEN",2550198,1991-06-10,3.44041666666667,2.344,4.4425,1.22146570652729,92,0.192916666666667,20,2,"95.1","6.1",5.53834297753617
"Benny Cunningham","RB","LA",2541544,1990-07-07,0,0,0,0,105,0,32,3,,,3.78388194861086
"Bernard Pierce","RB","FA",2533545,1991-05-10,0,0,0,0,105,0,32,4,,,3.78388194861086
"Bilal Powell","RB","NYJ",2495328,1988-10-27,11.2991666666667,8.00516666666667,13.3605,2.94053235920905,28,0.229791666666666,13,5,"31.8","4.1",6.39134951166793
"Bills","DST","BUF",100003,,5.23333333333333,3.54,5.54,1.36503968196288,26,5.23333333333333,19,46,"18.2","5.2",4.92368144059741
"Billy Cundiff","K","FA",2504941,1980-03-30,0,0,0,,26,0,12,14,,,
"Bishop Sankey","RB","FA",2543682,1992-09-15,0,0,0,0,105,0,32,2,,,3.78388194861086
"Blaine Gabbert","QB","SF",2495441,1989-10-15,0,0,0,0,50,0,25,5,,,4.19965985727146
"Blair Walsh","K","MIN",2532968,1990-01-08,9.38840579710145,8.65391304347826,10.3304347826087,1.14010357813318,8,0.449342770475226,4,4,"12.5","3.8",4.49256420624369
"Blake Annen","TE","FA",2550278,1991-05-28,0,0,0,,81,0,25,2,,,
"Blake Bell","TE","SF",2552478,1991-08-07,0,0,0,0,81,0,25,1,,,3.44540175578131
"Blake Bortles","QB","JAC",2543477,1991-12-16,21.78125,20.516,22.8215,1.28423372094023,13,0.450000000000003,7,2,"19.6","3.3",6.74042016463999
"Bobby Rainey","RB","NYG",2534571,1987-10-16,0,0,0,0,105,0,32,4,,,3.78388194861086
"Brad Sorensen","QB","MIN",2539312,1988-03-13,0,0,0,,50,0,25,3,,,
"Bradley Marquez","WR","LA",2553725,1992-12-14,0,0,0,0,137,0,28,1,,,3.27119706995192
"Branden Oliver","RB","SD",2550658,1991-05-07,0,0,0,0,105,0,32,2,,,3.78388194861086
"Brandin Cooks","WR","NO",2543498,1993-09-25,15.50875,12.7145,17.96,3.07787365725106,17,0.586874999999999,5,2,"17.0","4.4",6.67390815455678
"Brandon Bolden","RB","NE",2532797,1990-01-26,2.24,0.385,3.821,2.15133873049628,71,0.10125,24,4,"76.8","5.3",6.45182559494692
"Brandon Bostick","TE","NYJ",2536342,1989-05-03,0.59,0.301,0.985,0.485206141758325,63,0.0337500000000001,21,4,"48.3","11.7",7.11249960244972
"Brandon Coleman","WR","NO",2550328,1992-06-22,2.33833333333333,1.316,3.31333333333333,1.10366309271545,105,0.25,22,2,"81.5","9.2",7.79490706973974
"Brandon Gibson","WR","NE",81288,1987-08-13,0,0,0,0,137,0,28,7,,,3.27119706995192
"Brandon LaFell","WR","CIN",497302,1986-11-04,10.3383333333333,8.604,12.9033333333333,2.73481463926006,46,0.0822916666666664,11,6,"37.4","5.9",7.07103734632188
"Brandon Marshall","WR","NYJ",2495893,1984-03-23,17.0445833333333,13.8028333333333,18.384,2.55527463733788,9,0.0389583333333334,3,10,"5.5","2.4",4.42350588982572
"Brandon McManus","K","DEN",2541556,1991-07-25,10.418115942029,7.97,12.7734782608696,3.00888282696662,2,0.242517302573203,2,2,"8.5","3.4",5.80120960885049
"Brandon Myers","TE","TB",89766,1985-09-04,3.9175,0.9015,7.3375,3.50591999338262,33,0.280208333333333,13,7,"45.1","2.7",7.33991662916882
"Brandon Pettigrew","TE","DET",71431,1985-02-23,0,0,0,0,81,0,26,7,,,3.44540175578131
"Brandon Tate","WR","BUF",81306,1987-10-05,1.50708333333333,0.383,3.0195,1.60094438275246,113,0.22375,23,7,"92.3","6.0",5.89052782713705
"Brandon Weeden","QB","HOU",2532970,1983-10-14,0,0,0,0,50,0,25,4,,,4.19965985727146
"Brandon Wegher","RB","FA",2553618,1990-12-09,0,0,0,0,105,0,32,1,,,3.78388194861086
"Brandon Williams","TE","SEA",2539645,1987-10-12,0.265,0.169,0.377,0.134536240470737,77,0.055,24,4,"49.5","5.5",4.73162303475547
"Braxton Miller","WR","HOU",2555348,1992-11-30,4.2,3.346,4.69,0.729280467310074,86,0.19875,19,0,"83.5","8.7",7.25486539529898
"Brent Celek","TE","PHI",2507218,1985-01-25,3.115,2.537,3.425,0.624259561400544,38,0.149166666666667,15,9,"34.3","5.7",5.37831519426245
"Brenton Bersin","WR","CAR",2535966,1990-05-09,0.515,0.144,0.804,0.449082397784638,126,0.0274999999999999,26,3,,,4.25738524724219
"Breshad Perriman","WR","BAL",2552597,1993-09-10,0,0,0,,137,0,28,1,,,
"Brett Hundley","QB","GB",2552588,1993-06-15,0.198,0.0456,0.3672,0.20426453436659,43,0.0135,19,1,,,4.42722657258244
"Brian Hartline","WR","FA",81831,1986-11-22,0,0,0,0,137,0,28,7,,,3.27119706995192
"Brian Hoyer","QB","CHI",81294,1985-10-31,0,0,0,0,50,0,25,7,,,4.19965985727146
"Brian Parker","TE","FA",2553840,1992-05-30,0,0,0,0,81,0,25,1,,,3.44540175578131
"Brian Quick","WR","LA",2532933,1989-06-05,0,0,0,0,137,0,28,4,,,3.27119706995192
"Brian Tyms","WR","FA",2535522,1989-02-21,0,0,0,,137,0,28,4,,,
"Brice Butler","WR","DAL",2541388,1990-01-29,3.98,2.495,5.027,1.62090252637227,88,0.0833333333333335,19,3,"72.5","9.2",8.36283782901356
"Brittan Golden","WR","ARI",2535988,1988-07-20,0.380416666666667,0.0465,0.77,0.397045512364627,131,0.0779166666666666,26,4,"107.2","3.5",6.24522919607396
"Brock Osweiler","QB","HOU",2533436,1990-11-22,19.95125,18.335,21.6545,1.78513479883173,20,0.117083333333333,9,4,"20.1","2.8",6.43949209595385
"Broncos","DST","DEN",100009,,10.4333333333333,6.42,10.66,2.66895734947813,2,0.850000000000001,2,46,"2.6","1.6",4.84150289902084
"Browns","DST","CLE",100007,,6.43333333333333,5.32,6.76,0.98657657246325,21,0.133333333333333,14,46,"18.4","3.3",3.20775770878665
"Bruce Ellington","WR","SF",2543646,1991-08-22,0,0,0,0,137,0,28,2,,,3.27119706995192
"Bruce Gradkowski","QB","PIT",2495838,1983-01-27,0,0,0,0,50,0,25,10,,,4.19965985727146
"Bruce Miller","RB","FA",2495314,1987-08-06,0,0,0,,105,0,32,5,,,
"Bryan Walters","WR","JAC",2528181,1987-11-04,0.425,0,1.02,0.736121593216773,130,0.0810416666666666,26,6,,,4.88772538604637
"Bryce Brown","RB","FA",2534796,1991-05-14,0,0,0,0,105,0,32,4,,,3.78388194861086
"Bryce Petty","QB","NYJ",2552369,1991-05-31,-0.432666666666667,-1.1644,0.1188,0.891924511006023,110,0.08,25,1,,,5.19333373171271
"Bryce Treggs","WR","PHI",2556697,1994-04-30,0.7,0,1.68,1.21243556529821,123,0.1425,25,0,,,5.93371429646042
"Buccaneers","DST","TB",100031,,6.56666666666667,5.22,7.3,1.36137185711081,18,0.083333333333333,12,46,"17.3","2.9",3.63032160529566
"C.J. Anderson","RB","DEN",2540269,1991-02-10,12.4,3.36,19.44,10.779146533933,24,0.152708333333335,12,3,,,19.2894869181282
"C.J. Fiedorowicz","TE","HOU",2543721,1991-10-22,6.41958333333333,5.197,7.0845,1.04701725816191,27,1.97979166666667,12,2,"12.5","4.0",5.33009453150779
"C.J. Prosise","RB","SEA",2555417,1994-05-20,6.89458333333333,4.21533333333333,9.2435,2.76303187438887,42,0.266458333333333,17,0,"49.0","5.5",6.96156877633838
"C.J. Spiller","RB","FA",497204,1987-08-15,0,0,0,0,105,0,32,6,,,3.78388194861086
"C.J. Uzomah","TE","CIN",2552559,1993-01-14,2.44625,1.502,3.1675,0.947658298122272,45,0.119583333333333,16,1,"30.0","4.5",7.72776620457568
"Cairo Santos","K","KC",2550636,1991-11-21,10.2598639455782,9.44857142857143,11.2951020408163,1.25179476872049,3,0.274981592637054,2,2,"7.0","3.1",5.45893529766646
"Caleb Sturgis","K","PHI",2539637,1989-08-09,7.93148148148148,7.61111111111111,8.20222222222222,0.384753140888893,13,0.313968846895676,7,3,"17.7","3.6",4.94586679514612
"Cam Newton","QB","CAR",2495455,1989-05-11,21.9975,19.26,24.017,2.56126758982084,11,0.214791666666667,7,5,"7.1","2.4",5.71192927080117
"Cameron Artis-Payne","RB","CAR",2552375,1990-06-23,1.74,0.379,2.799,1.52853688211963,78,0.2575,25,1,,,5.98265427264168
"Cameron Brate","TE","TB",2550656,1991-07-03,11.8008333333333,9.15833333333333,12.588,2.17691996994735,7,0.537708333333335,3,2,"13.9","3.8",6.05555979639503
"Cameron Marshall","RB","FA",2539199,1991-10-14,0,0,0,,105,0,32,3,,,
"Cameron Meredith","WR","CHI",2553568,1992-09-21,12.6766666666667,9.631,15.7996666666667,3.48032246271009,31,0.138958333333333,8,1,"39.3","5.7",7.76063941428753
"Cardale Jones","QB","BUF",2555426,1992-09-29,0,0,0,0,50,0.180833333333333,25,0,,,4.19965985727146
"Cardinals","DST","ARI",100026,,8.66666666666667,4.96,8.88,2.80059517483933,6,0.433333333333334,5,46,"6.1","1.9",5.81812279031205
"Carlos Hyde","RB","SF",2543743,1991-09-20,0,0,0,0,105,0,32,2,,,3.78388194861086
"Carson Palmer","QB","ARI",2505245,1979-12-27,20.9041666666667,17.3865,23.5811666666667,3.48429930784751,16,0.216458333333332,8,13,"12.9","2.9",7.67596818315091
"Carson Wentz","QB","PHI",2555259,1992-12-30,19.8683333333333,18.9245,21.1195,1.38653645221946,21,0.488333333333333,10,0,"22.3","2.3",4.76758314170553
"Case Keenum","QB","LA",2532888,1988-02-12,0,0,0,0,50,0,25,4,,,4.19965985727146
"Cecil Shorts","WR","TB",2495341,1987-12-22,3.08916666666667,1.795,3.7555,1.26205327630105,97,0.065833333333333,20,5,"82.1","5.2",5.06703545658498
"Cedric Peerman","RB","CIN",79629,1986-10-10,0,0,0,0,105,0,32,7,,,3.78388194861086
"Chad Henne","QB","JAC",252,1985-07-02,0.1635,0.1116,0.2196,0.0703775532396516,46,0.0385,20,8,,,4.27806597251821
"Chandler Catanzaro","K","ARI",2550325,1991-02-26,7.60900900900901,7.23027027027027,7.94378378378378,0.455991148957881,15,0.246530231419875,8,2,"12.3","3.6",5.0024437993832
"Chandler Worthy","WR","FA",2553787,1993-09-15,0,0,0,,137,0,28,1,,,
"Charcandrick West","RB","KC",2550268,1991-06-02,3.55208333333333,2.914,3.8685,0.522313895617909,62,0.403958333333333,21,2,"48.2","4.7",4.93122196078748
"Chargers","DST","SD",100028,,6.76666666666667,5.68,6.96,0.832666399786453,15,0.0916666666666659,12,46,"19.0","4.5",6.7377071876934
"Charles Clay","TE","BUF",2495139,1989-02-13,10.2841666666667,8.1095,12.7521666666667,2.70164918768765,13,0.622916666666667,4,5,"19.2","2.8",6.45430911121366
"Charles Johnson","WR","MIN",2541147,1989-02-27,2.85,1.397,4.593,2.26174158559284,102,0.136875,21,3,"90.1","9.2",9.0664814218896
"Charles Sims","RB","TB",2543770,1990-09-19,0,0,0,,105,0,32,2,,,
"Charlie Whitehurst","QB","FA",2495974,1982-08-06,0,0,0,0,50,0,25,10,,,4.19965985727146
"Charone Peake","WR","NYJ",2555477,1992-10-16,4.0225,2.833,5.046,1.27455547806546,87,0.065833333333333,19,0,"87.7","5.9",5.46766753306043
"Chase Coffman","TE","IND",71255,1986-11-10,0.5,0,1.2,0.866025403784439,67,0.05,21,7,,,5.44130706113239
"Chase Daniel","QB","PHI",81284,1986-10-07,0.112,0.0528,0.168,0.0723325652801005,48,0.073,22,7,,,4.28024400929693
"Chase Ford","TE","FA",2534244,1990-07-19,0,0,0,0,81,0,25,4,,,3.44540175578131
"Chase Reynolds","RB","LA",2531218,1987-10-22,0,0,0,,105,0,32,4,,,
"Chester Rogers","WR","IND",2556396,1994-01-12,3.03,1.306,4.922,2.39633052812003,98,0.0341666666666667,20,0,"69.3","6.8",7.15076929064315
"Chiefs","DST","KC",100016,,7.66666666666667,6.3,7.9,1.04083299973307,10,0.366666666666666,9,46,"8.0","3.3",3.27583903994218
"Chris Boswell","K","PIT",2550545,1989-12-16,0,0,0,0,26,0,12,2,,,2.96111582434564
"Chris Conley","WR","KC",2552652,1992-10-25,7.13333333333333,5.651,8.121,1.32469703035155,70,0.120416666666666,16,1,"63.6","5.2",5.13581852393569
"Chris Givens","WR","FA",2535634,1989-12-06,0,0,0,0,137,0,28,4,,,3.27119706995192
"Chris Gragg","TE","BUF",2539202,1990-06-30,0,0,0,0,81,0,25,3,,,3.44540175578131
"Chris Harper","WR","FA",2539246,1989-09-10,0,0,0,,137,0,28,3,,,
"Chris Harper","WR","SF",2553652,1993-12-07,0,0,0,0,137,0,28,1,,,3.27119706995192
"Chris Hogan","WR","NE",2530515,1988-10-24,8.14,6.4415,9.044,1.40719801378484,60,0.0991666666666671,15,5,"48.4","7.0",7.67680078896756
"Chris Ivory","RB","JAC",2507999,1988-03-22,7.62041666666667,5.7055,9.045,1.79776114622852,37,0.574374999999999,16,6,"28.9","3.2",5.29026783083274
"Chris Johnson","RB","ARI",262,1985-09-23,0,0,0,0,105,0,33,8,,,3.78388194861086
"Chris Manhertz","TE","CAR",2552622,1992-04-10,0.3,0,0.72,0.519615242270663,75,0.03,23,0,,,4.64294493899196
"Chris Matthews","WR","BAL",2531049,1989-10-06,0,0,0,0,137,0,28,2,,,3.27119706995192
"Chris Moore","WR","BAL",2555209,1993-06-16,0,0,0,,137,0,28,0,,,
"Chris Owusu","WR","NYJ",2532923,1990-01-06,0,0,0,0,137,0,28,4,,,3.27119706995192
"Chris Pantale","TE","FA",2539208,1990-03-22,0,0,0,,81,0,25,3,,,
"Chris Polk","RB","HOU",2533037,1989-12-16,0,0,0,0,105,0,32,4,,,3.78388194861086
"Chris Thompson","RB","WAS",2540011,1990-10-20,12.1141666666667,10.347,13.9766666666667,2.16639036699811,26,0.505208333333332,12,3,"26.9","3.9",5.69497799661692
"Christian Hackenberg","QB","NYJ",2555416,1995-02-14,0,0,0,0,50,0,25,0,,,4.19965985727146
"Christian Ponder","QB","SF",2495215,1988-02-25,0,0,0,0,50,0,25,5,,,4.19965985727146
"Christine Michael","RB","SEA",2539322,1990-11-09,20.2633333333333,18.677,21.385,1.52630454220498,6,0.337083333333336,4,3,"5.5","1.8",3.48988996637491
"Clark Harris","TE","CIN",2495620,1984-07-10,0,0,0,,81,0,25,9,,,
"Clay Harbor","TE","DET",497242,1987-07-02,2.28833333333333,0.306,4.46,2.3229267936999,47,0.182291666666666,16,6,"33.5","3.9",6.75918855631895
"Clive Walford","TE","OAK",2552397,1991-10-21,6.83833333333333,5.0615,7.9425,1.58052909565823,25,0.315,11,1,"26.0","2.3",4.95648624996051
"Cobi Hamilton","WR","PIT",2539203,1990-11-13,0,0,0,0,137,0,28,3,,,3.27119706995192
"Coby Fleener","TE","NO",2532838,1988-09-20,8.85708333333333,7.503,9.4835,1.06708878366433,17,0.162916666666668,6,4,"12.5","2.6",4.48837943400579
"Cody Core","WR","CIN",2555331,1994-04-17,0.2975,0.01,0.486,0.330037876614185,133,0.14875,27,0,,,3.99596262206554
"Cody Kessler","QB","CLE",2555387,1993-05-11,18.96,1.896,17.064,13.4067445712969,23,1.458125,12,0,,,19.1358250342758
"Cody Latimer","WR","DEN",2543590,1992-10-10,1.575,0.8,2.04,0.779823698024111,111,0.0539583333333333,23,2,,,4.98369552269903
"Cody Parkey","K","CLE",2550380,1992-02-19,7.6260162601626,6.08146341463415,9.3809756097561,2.11191111329667,14,0.0371031535075597,8,2,"23.6","2.7",4.73777094799403
"Cole Beasley","WR","DAL",2535698,1989-04-26,12.09875,9.2565,15.14,3.16878098275451,35,0.305000000000001,9,4,"38.9","6.0",7.61201805529167
"Cole Wick","TE","DET",2556708,1993-11-30,0.76,0.568,0.912,0.231786539729985,58,0.0275000000000001,20,0,,,3.97959391958439
"Colin Kaepernick","QB","SF",2495186,1987-11-03,0,0,0,0,50,0,25,5,,,4.19965985727146
"Colt McCoy","QB","WAS",497123,1986-09-05,0.173,0.132,0.1992,0.0432666153055679,45,0.02225,20,6,,,4.24786226087639
"Colts","DST","IND",100014,,6.26666666666667,2.72,6.8,2.62106848441623,23,0.266666666666667,16,46,"22.7","2.5",5.02007041011075
"Connor Barth","K","CHI",2507463,1986-04-11,4.44871794871795,1.96923076923077,6.36923076923077,3.0045166525719,24,2.24871794871795,12,8,"24.1","3.0",6.76317493185963
"Connor Cook","QB","OAK",2555332,1993-01-29,0,0,0,0,50,0,25,0,,,4.19965985727146
"Cooper Helfet","TE","FA",2536071,1989-06-02,0,0,0,0,81,0,25,5,,,3.44540175578131
"Cordarrelle Patterson","WR","MIN",2540145,1991-03-17,7.77791666666667,6.702,8.4155,1.01944735845784,67,0.19875,15,3,"49.0","8.3",7.44450148119983
"Corey Brown","WR","CAR",2550546,1991-12-16,5.50541666666667,4.2405,6.29,1.10488090107285,80,0.0322916666666666,18,2,,,5.69752347982025
"Corey Coleman","WR","CLE",2555333,1994-07-06,0,0,0,0,137,0,28,0,,,3.27119706995192
"Corey Fuller","WR","DET",2540261,1990-06-23,0,0,0,0,137,0,28,3,,,3.27119706995192
"Corey Grant","RB","JAC",2553650,1991-12-19,0.1975,0.057,0.205,0.100374299499424,98,0.01375,31,1,,,3.92826854102155
"Corey Washington","WR","FA",2550413,1991-12-29,0,0,0,0,137,0,28,2,,,3.27119706995192
"Cory Harkey","TE","LA",2533353,1990-06-17,0,0,0,0,81,0,25,4,,,3.44540175578131
"Cowboys","DST","DAL",100008,,5.76666666666667,5.92,6.4,0.321455025366432,25,3.15,18,46,"13.8","3.8",2.51635397140941
"Craig Stevens","TE","FA",1992,1984-09-01,0,0,0,,81,0,25,8,,,
"Crockett Gillmore","TE","BAL",2543794,1991-11-16,0,0,0,0,81,0,25,2,,,3.44540175578131
"Cyrus Gray","RB","ATL",2532851,1989-11-18,0,0,0,0,105,0,32,4,,,3.78388194861086
"D.J. Foster","RB","NE",2556528,1993-11-22,3.03,0.708,2.772,1.82433549546129,67,0.173958333333334,23,0,"75.5","8.8",7.89155518414177
